Year,Burned_Area_ha,Mean_dNBR
2017,583.04,4.9335
2018,803.62,5.42
2019,789.74,2.8166
2020,412.86,1.2453
2021,617.43,2.6594
2022,798.55,1.4826
2023,668.97,2.2369
2024,591.57,3.2378
2025,694.6,3.502
